payment_id,order_id,payment_date,amount,currency,status,payment_method
96,99,2026-03-13,-420.81,EUR,FAILED,Cash
97,131,2026-03-14,534.52,Usd,paid,Cash
98,64,2026-03-15,548.04,Usd,FAILED,Cash
99,52,2026-03-16,643.56,Usd,FAILED,Card
100,169,2026-03-17,51.16,Usd,paid,Cash
101,206,2026-03-18,570.8,eur,FAILED,Cash
102,3,2026-03-19,168.21,EUR,FAILED,PayPal
103,71,2026-03-20,63.44,Usd,PAID,Card
104,182,2026-03-21,638.91,Usd,Refunded,Card
105,187,2026-03-22,643.94,EURO,paid,Cash
106,47,2026-03-23,171.05,eur,PAID,Cash
107,36,2026-03-24,687.92,EUR,PAID,Card
108,4,2026-99-01,653.29,EURO,Refunded,PayPal
109,57,2026-03-26,453.24,eur,paid,PayPal
109,137,2026-03-27,579.14,Usd,Refunded,Card
111,120,2026-03-28,125.16,eur,PAID,Card
112,107,2026-03-01,169.29,EUR,PAID,Card
113,176,2026-03-02,530.52,Usd,paid,Cash
114,11,2026-03-03,132.32,EUR,Refunded,Card
115,224,2026-03-04,670.54,Usd,Refunded,PayPal
116,67,2026-03-05,639.79,eur,FAILED,Cash
117,205,2026-03-06,443.5,eur,Refunded,PayPal
118,84,2026-03-07,784.28,EURO,PAID,Cash
119,168,2026-03-08,133.23,Usd,Refunded,PayPal
120,39,2026-03-09,-558.41,eur,paid,PayPal
121,30,2026-03-10,155.32,Usd,paid,Card
122,168,2026-03-11,664.51,EUR,Refunded,PayPal
123,90,2026-03-12,425.81,Usd,paid,Card
124,52,2026-03-13,602.79,EURO,PAID,Cash
125,52,2026-03-14,231.2,Usd,PAID,Card
126,9,2026-03-15,381.66,eur,FAILED,PayPal
127,50,2026-03-16,483.05,EUR,FAILED,Card
128,86,2026-03-17,528.66,EUR,Refunded,Cash
129,191,2026-03-18,365.2,eur,FAILED,Cash
130,186,2026-03-19,151.3,Usd,PAID,PayPal
131,153,2026-03-20,369.44,EUR,Refunded,Cash
132,132,2026-03-21,374.5,EUR,PAID,PayPal
133,148,2026-03-22,86.81,eur,paid,Cash
134,44,2026-03-23,70.22,eur,FAILED,PayPal
135,216,2026-99-01,753.82,Usd,PAID,PayPal
136,39,2026-03-25,700.01,EURO,FAILED,Cash
137,40,2026-03-26,84.27,eur,PAID,Cash
138,120,2026-03-27,223.67,EUR,FAILED,Card
139,94,2026-03-28,139.58,EUR,FAILED,Card
140,62,2026-03-01,233.95,eur,Refunded,PayPal
141,4,2026-03-02,698.51,eur,PAID,Card
142,177,2026-03-03,755.22,EURO,Refunded,PayPal
143,216,2026-03-04,191.12,eur,Refunded,Cash
144,160,2026-03-05,-798.54,EURO,paid,PayPal
145,170,2026-03-06,96.59,EUR,PAID,PayPal
146,211,2026-03-07,181.92,eur,PAID,Card
147,11,2026-03-08,67.71,Usd,PAID,Card
148,88,2026-03-09,498.42,eur,FAILED,Card
149,3,2026-03-10,650.34,EURO,Refunded,Cash
150,9,2026-03-11,752.84,EURO,paid,Card
151,39,2026-03-12,633.0,eur,Refunded,Cash
152,57,2026-03-13,618.44,eur,Refunded,PayPal
153,203,2026-03-14,271.54,EUR,PAID,Cash
154,193,2026-03-15,39.81,Usd,PAID,PayPal
155,217,2026-03-16,512.75,eur,PAID,Cash
156,150,2026-03-17,631.43,EUR,FAILED,Card
157,35,2026-03-18,644.64,EURO,paid,Cash
158,191,2026-03-19,664.46,Usd,PAID,Cash
159,99,2026-03-20,667.64,eur,paid,PayPal
160,18,2026-03-21,629.7,Usd,PAID,Cash
161,51,2026-03-22,603.07,eur,Refunded,PayPal
162,148,2026-99-01,371.74,eur,paid,PayPal
163,170,2026-03-24,712.73,EUR,paid,Cash
164,104,2026-03-25,636.98,Usd,paid,Card
164,203,2026-03-26,190.39,Usd,paid,Cash
166,29,2026-03-27,13.55,EURO,PAID,Cash
167,38,2026-03-28,340.74,Usd,paid,Cash
168,101,2026-03-01,-440.87,EUR,FAILED,Cash
169,23,2026-03-02,499.23,Usd,FAILED,Cash
170,170,2026-03-03,157.96,EURO,paid,PayPal
171,175,2026-03-04,647.63,EUR,Refunded,PayPal
172,70,2026-03-05,42.8,eur,paid,Cash
173,58,2026-03-06,766.59,Usd,Refunded,Cash
174,128,2026-03-07,712.99,EURO,FAILED,Cash
175,101,2026-03-08,765.07,eur,Refunded,PayPal
176,63,2026-03-09,17.16,eur,PAID,Cash
177,174,2026-03-10,456.56,Usd,FAILED,Card
178,193,2026-03-11,787.77,EURO,Refunded,Cash
179,114,2026-03-12,536.38,EUR,FAILED,Cash
180,170,2026-03-13,766.7,Usd,FAILED,PayPal
181,168,2026-03-14,509.22,EURO,PAID,Cash
182,225,2026-03-15,399.74,EUR,PAID,PayPal
183,80,2026-03-16,104.05,EURO,paid,PayPal
184,84,2026-03-17,713.98,EURO,PAID,Cash
185,49,2026-03-18,118.22,Usd,Refunded,PayPal
186,45,2026-03-19,735.22,EUR,paid,PayPal
187,75,2026-03-20,475.76,Usd,Refunded,PayPal
188,207,2026-03-21,30.39,EURO,PAID,PayPal
189,177,2026-99-01,515.15,EURO,FAILED,Cash
190,204,2026-03-23,266.12,EURO,PAID,PayPal
191,133,2026-03-24,284.32,eur,Refunded,Card
192,14,2026-03-25,-138.1,eur,FAILED,PayPal
193,178,2026-03-26,245.13,EURO,FAILED,Card
194,159,2026-03-27,225.16,EURO,Refunded,Cash
195,175,2026-03-28,743.16,EURO,PAID,Cash
196,204,2026-03-01,295.82,Usd,paid,Cash
197,129,2026-03-02,220.81,eur,paid,Cash
198,39,2026-03-03,513.32,Usd,PAID,Cash
199,193,2026-03-04,608.09,EURO,paid,Card
200,136,2026-03-05,227.56,Usd,paid,Cash
201,116,2026-03-06,682.62,EUR,FAILED,Card
202,155,2026-03-07,42.65,Usd,FAILED,Cash
203,225,2026-03-08,219.76,eur,PAID,PayPal
204,79,2026-03-09,86.16,EURO,PAID,Card
205,101,2026-03-10,519.37,EUR,paid,PayPal
206,128,2026-03-11,672.97,EURO,paid,Cash
207,137,2026-03-12,286.28,eur,Refunded,PayPal
208,55,2026-03-13,421.74,Usd,Refunded,Cash
209,129,2026-03-14,548.71,EURO,PAID,Card
210,104,2026-03-15,683.03,eur,paid,Card
211,39,2026-03-16,463.24,Usd,Refunded,Card
212,230,2026-03-17,540.52,eur,PAID,Cash
213,34,2026-03-18,720.06,EURO,FAILED,PayPal
214,183,2026-03-19,566.25,EURO,FAILED,Card
215,58,2026-03-20,619.5,Usd,Refunded,Cash
216,6,2026-99-01,-84.13,EUR,FAILED,PayPal
217,56,2026-03-22,418.64,EUR,FAILED,Card
218,71,2026-03-23,371.61,eur,paid,PayPal
219,11,2026-03-24,56.69,EURO,PAID,PayPal
219,58,2026-03-25,663.64,EUR,paid,Cash
