order_item_id,order_id,product_id,quantity,unit_price
100,57,102,0,293.42
101,113,14,1,311.99
102,58,12,2,83.9
103,219,45,5,160.82
104,78,108,4,303.26
105,18,63,4,340.25
106,57,106,5,158.03
107,6,63,4,48.3
108,92,98,2,97.34
109,102,144,3,184.65
110,137,99,3,171.26
111,32,109,1,413.78
112,142,63,3,196.74
113,73,89,4,122.4
114,72,171,1,17.52
115,62,181,2,69.28
116,70,140,2,418.33
117,143,114,2,236.19
118,41,95,2,179.69
119,97,162,4,479.41
119,77,122,0,254.89
121,220,116,2,339.27
122,153,113,3,295.84
123,137,64,3,205.05
124,55,33,5,436.83
125,174,132,1,50.28
126,189,99,3,19.21
127,38,80,5,12.43
128,178,46,1,389.19
129,83,49,2,333.06
130,18,144,1,457.36
131,195,77,5,100.45
132,23,58,-2,147.84
133,73,92,4,204.67
134,199,161,4,441.96
135,71,46,2,19.64
136,230,106,3,17.51
137,64,103,4,179.3
138,47,75,1,62.04
139,188,57,5,357.73
140,104,11,0,306.22
141,51,78,4,82.31
142,142,80,1,316.58
143,145,59,2,287.23
144,66,112,5,336.72
145,90,1,5,60.38
146,11,150,3,305.66
147,63,175,1,60.04
148,54,89,3,376.01
149,107,178,1,373.25
150,213,57,5,144.18
151,90,109,1,224.07
152,178,129,3,370.61
153,131,14,4,339.91
154,110,173,2,258.38
155,126,49,2,26.63
156,67,45,5,275.47
157,140,67,2,128.6
158,44,92,1,176.88
159,52,163,1,158.72
160,176,181,0,245.79
161,61,181,4,124.65
162,178,114,5,70.89
163,179,77,3,71.03
164,151,145,2,124.18
165,141,109,-2,381.46
166,174,171,2,81.62
167,215,104,4,416.43
168,177,75,1,11.12
169,53,12,4,34.86
170,78,51,3,59.74
171,115,29,3,84.85
172,120,146,4,184.67
173,143,19,2,27.56
174,193,125,4,46.57
175,190,145,3,135.89
176,112,126,4,98.96
177,83,3,5,182.85
178,165,74,1,315.73
179,168,63,3,43.68
179,7,102,0,420.59
181,95,48,3,481.2
182,217,175,5,88.39
183,191,158,3,166.7
184,166,92,2,163.48
185,35,142,3,460.26
186,62,15,3,25.42
187,206,161,5,460.93
188,13,56,4,249.72
189,188,41,4,497.84
190,149,161,5,44.72
191,42,36,2,224.38
192,23,11,4,426.08
193,49,56,4,362.86
194,9,157,1,428.39
195,109,37,5,145.21
196,132,182,1,213.5
197,17,113,3,9.35
198,186,43,-2,192.52
199,114,145,1,339.25
200,51,121,0,47.1
201,133,118,3,217.05
202,161,40,5,487.31
203,159,21,5,406.52
204,186,174,1,169.11
205,145,147,3,213.47
206,124,169,3,325.44
207,222,88,3,267.55
208,218,49,1,115.13
209,177,22,4,77.72
210,96,143,5,292.48
211,93,136,4,123.92
212,102,67,4,61.56
213,228,52,2,276.32
214,57,65,1,326.59
215,136,172,2,129.51
216,59,142,4,231.79
217,147,179,5,60.94
218,151,146,5,44.71
219,174,19,4,401.17
220,222,129,0,277.53
221,161,185,1,260.0
222,213,176,4,199.02
223,50,145,2,240.18
224,36,96,1,389.2
225,104,61,1,28.37
226,4,180,1,299.18
227,118,77,2,64.67
228,110,23,2,312.48
229,145,30,2,459.16
230,44,94,3,373.99
231,206,189,-2,341.86
232,32,62,3,189.64
233,92,185,5,247.05
234,91,26,5,181.09
235,206,155,3,60.92
236,66,91,2,100.61
237,6,149,4,222.74
238,125,29,1,41.51
239,48,39,3,279.35
239,224,176,0,336.43
241,151,65,2,271.52
242,114,4,3,17.26
243,125,129,2,244.56
244,205,10,1,41.93
245,210,166,5,341.36
246,216,122,4,483.93
247,101,59,4,437.15
248,133,20,5,183.66
249,56,80,5,447.52
250,160,12,5,109.63
251,187,120,3,169.03
252,100,91,4,160.61
253,149,124,3,170.22
254,64,118,1,438.76
255,12,162,5,77.19
256,70,99,2,140.3
257,68,92,5,286.64
258,150,36,5,496.13
259,144,25,1,436.83
260,163,147,0,319.14
261,203,73,3,397.56
262,224,37,2,342.26
263,196,88,3,371.07
264,219,163,-2,126.38
265,184,104,5,170.54
266,172,83,3,442.41
267,129,95,4,447.63
268,90,39,2,72.13
269,228,172,1,229.3
270,102,146,4,387.31
271,151,17,2,76.19
272,65,187,3,288.09
273,19,49,3,293.76
274,150,46,1,155.6
275,120,92,3,485.42
276,185,18,4,420.1
277,45,71,3,449.38
278,6,43,5,315.09
279,181,6,2,113.07
280,115,52,0,446.96
